epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.08751,0,15.9058,0,0,0,0,0,0,9.40379,0,0,0,0
2,1.91412,0,15.8899,0,0,0,0,0,0,9.40826,0,1.40071e-05,1.40071e-05,1.40071e-05
3,2.72562,0,15.875,0,0,0,0,0,0,9.41386,0,2.74482e-05,2.74482e-05,2.74482e-05
4,3.58763,0,15.8121,0,0,0,0,0,0,9.41925,0,4.03235e-05,4.03235e-05,4.03235e-05
5,4.35726,0,15.7614,0,0,0,0,0,0,9.42465,0,5.26329e-05,5.26329e-05,5.26329e-05
6,5.16998,0,15.6792,0,0,0,0,0,0,9.42919,0,6.43764e-05,6.43764e-05,6.43764e-05
7,5.99766,0,15.608,0,0,0,0,0,0,9.43277,0,7.55541e-05,7.55541e-05,7.55541e-05
8,6.83554,0,15.5123,0,0,0,0,0,0,9.43463,0,8.61658e-05,8.61658e-05,8.61658e-05
9,7.62274,0,15.4926,0,0,0,0,0,0,9.43463,0,9.62117e-05,9.62117e-05,9.62117e-05
10,8.49751,0,15.4287,0,0,0,0,0,0,9.43586,0,0.000105692,0.000105692,0.000105692
11,9.23726,0,15.4153,0,0,0,0,0,0,9.43586,0,0.000114606,0.000114606,0.000114606
12,10.1031,0,15.3712,0,0,0,0,0,0,9.43396,0,0.000122954,0.000122954,0.000122954
13,10.9315,0,15.2735,0,0,0,0,0,0,9.43396,0,0.000130736,0.000130736,0.000130736
14,11.7423,0,15.2485,0,0,0,0,0,0,9.42851,0,0.000137953,0.000137953,0.000137953
15,12.5165,0,15.1746,0,0,0,0,0,0,9.42851,0,0.000144603,0.000144603,0.000144603
16,13.3122,0,15.1908,0,0,0,0,0,0,9.42078,0,0.000150688,0.000150688,0.000150688
17,14.0449,0,14.9964,0,0,0,0,0,0,9.42078,0,0.000156207,0.000156207,0.000156207
18,15.0111,0,15.0991,0,0,0,0,0,0,9.41246,0,0.00016116,0.00016116,0.00016116
19,15.7452,0,14.9592,0,0,0,0,0,0,9.41246,0,0.000165547,0.000165547,0.000165547
20,16.5811,0,14.9515,0,0,0,0,0,0,9.40303,0,0.000169368,0.000169368,0.000169368
21,17.3536,0,14.7479,0,0,0,0,0,0,9.40303,0,0.000172623,0.000172623,0.000172623
22,18.1767,0,14.7696,0,0,0,0,0,0,9.39454,0,0.000175313,0.000175313,0.000175313
23,18.9724,0,14.6264,0,0,0,0,0,0,9.39454,0,0.000177436,0.000177436,0.000177436
24,19.769,0,14.7538,0,0,0,0,0,0,9.39454,0,0.000178994,0.000178994,0.000178994
25,20.5718,0,14.7244,0,0,0,0,0,0,9.38873,0,0.000179985,0.000179985,0.000179985
26,21.3425,0,14.516,0,0,0,0,0,0,9.38873,0,0.000180411,0.000180411,0.000180411
27,22.1591,0,14.5231,0,0,0,0,0,0,9.38873,0,0.000180271,0.000180271,0.000180271
28,22.9632,0,14.4694,0,0,0,0,0,0,9.38205,0,0.000179565,0.000179565,0.000179565
